GEOID,borough,tract_name,population,area_km2,pop_density,restroom_count,people_per_restroom,nearest_restroom_dist,Priority_Score,Priority_Class
36081003400,Queens,Census Tract 34,2600,0.21398455210407466,12150.409804981859,1,1300.0,1273.8380067371374,0.015083800258765906,0
36081003900,Queens,Census Tract 39,1474,0.14696884705613814,10029.336349335119,1,737.0,523.5187515475337,-0.567094573481266,0
36081003600,Queens,Census Tract 36,3448,0.1800054053812876,19154.980333487452,0,3448.0,849.4058315773137,0.08677300830389074,0
36081003700,Queens,Census Tract 37,0,0.401216760969952,0.0,3,0.0,679.361293636834,-3.2658569665687307,0
36081003800,Queens,Census Tract 38,2255,0.17621330941610763,12796.990235709578,0,2255.0,1456.8180819142335,0.20062609121008237,0
36081004001,Queens,Census Tract 40.01,2152,0.17428942914242196,12347.277804447202,0,2152.0,881.2998682654969,-0.061458846198806205,0
36081004200,Queens,Census Tract 42,4414,0.20028412741210957,22038.691018772766,1,2207.0,350.51169406425714,-0.4149095396318005,0
36081004300,Queens,Census Tract 43,1912,0.17081050297241432,11193.691059552617,2,637.3333333333334,321.2574390472077,-0.8180764631752622,0
36081077907,Queens,Census Tract 779.07,3437,0.21683146095520361,15851.0208106289,1,1718.5,728.2044600454168,-0.16010591407388217,0
36081024000,Queens,Census Tract 240,7155,0.2695618308920915,26543.075391353246,1,3577.5,466.172781874988,-0.14740119338399893,0
36081024300,Queens,Census Tract 243,5264,0.5401225397038572,9745.936547817815,0,5264.0,1318.2487301280946,0.2786414368159989,0
36081077908,Queens,Census Tract 779.08,3382,0.20049360872212077,16868.36813181097,0,3382.0,1493.1608016349978,0.3393313778775533,0
36081024500,Queens,Census Tract 245,4997,0.2576585854101764,19393.881217057402,1,2498.5,728.1137618644301,-0.05191946114892951,0
36081024900,Queens,Census Tract 249,5424,0.20408315113507725,26577.402249193994,0,5424.0,1129.341239315405,0.37121120533684354,0
36081025100,Queens,Census Tract 251,6018,0.245615159418737,24501.744982850236,2,2006.0,196.06750197292192,-0.7015033906842562,0
36081025500,Queens,Census Tract 255,1685,0.2182423410022615,7720.774952567703,0,1685.0,1302.25221619399,0.004851429425009078,0
36081025700,Queens,Census Tract 257,1458,0.1505846013965775,9682.264896131255,0,1458.0,1779.5844435558565,0.1657088991223006,0
36081097204,Queens,Census Tract 972.04,4273,0.3918305669464753,10905.223738156445,1,2136.5,854.0576749213674,-0.09845102450442479,0
36081100801,Queens,Census Tract 1008.01,3122,1.0063086783321367,3102.427781080479,1,1561.0,1274.0602466828757,-0.16898430790254812,0
36081102900,Queens,Census Tract 1029,3472,0.49050202854806574,7078.462061161014,1,1736.0,347.21157980834187,-0.6519738349558478,0
36047021100,Brooklyn,Census Tract 211,2753,0.27182871247625817,10127.701282624625,1,1376.5,1204.067879817117,-0.030531592299774164,0
36081025800,Queens,Census Tract 258,2560,0.2118414206346339,12084.51110425317,1,1280.0,827.9347809761844,-0.2005152260488999,0
36081026000,Queens,Census Tract 260,2809,0.1783744858126909,15747.767889571942,0,2809.0,665.1321868376463,-0.10640320942103247,0
